sample_id,project_id,assembly_id,sample_name,latitude_and_longitude,location,species,data_type,download
CNS0715745,CNP0004049,CNA0054039,GOMC.bin.6508,17.48 S 149.82 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Sedimenticolaceae;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0715745/
CNS0705960,CNP0004049,CNA0063298,GOMC.bin.7012,12.40 S 130.77 E,Indian Ocean,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0705960/
CNS0712864,CNP0004049,CNA0066979,GOMC.bin.14349,10.62 N 65.17 W,Atlantic Ocean,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__WVYX01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0712864/
CNS0701876,CNP0004049,CNA0058064,GOMC.bin.1413,74.69 N 146.66 W,Arctic Ocean,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA6257;f__GWB1-50-10;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701876/
CNS0704314,CNP0004049,CNA0063903,GOMC.bin.4011,37.29 N 32.28 W,Atlantic Ocean,d__Bacteria;p__Caldisericota;c__Caldisericia;o__Caldisericales;f__Caldisericaceae;g__S016-85;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704314/
CNS0710055,CNP0004049,CNA0065502,GOMC.bin.11457,10.85 N 65.11 W,Atlantic Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0710055/
CNS0703205,CNP0004049,CNA0057693,GOMC.bin.2902,27.02 N 111.38 W,Pacific Ocean,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Thermofilales;f__;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0703205/
CNS0713868,CNP0004049,CNA0068271,GOMC.bin.15368,68.60 S 78.19 E,Southern Ocean,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__SG8-4;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0713868/
CNS0712989,CNP0004049,CNA0067303,GOMC.bin.14474,29.29 N 92.80 W,Atlantic Ocean,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA1006;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0712989/
CNS0703852,CNP0004049,CNA0061399,GOMC.bin.3549,37.29 N 32.28 W,Atlantic Ocean,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__QNYZ01;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0703852/
CNS0714205,CNP0004049,CNA0068608,GOMC.bin.15705,10.62 N 65.17 W,Atlantic Ocean,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2163;g__UBA2163;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0714205/
CNS0716559,CNP0004049,CNA0054853,GOMC.bin.12228,45.51 N 13.56 E,Atlantic Ocean,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__Bin87;s__Bin87 sp002238825,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0716559/
CNS0714260,CNP0004049,CNA0068663,GOMC.bin.15760,22.31 N 39.10 E,Indian Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__Methylophaga;s__Methylophaga sp009711715,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0714260/
CNS0702466,CNP0004049,CNA0061528,GOMC.bin.2014,27.02 N 111.40 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__Cycloclasticus;s__Cycloclasticus sp012960055,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702466/
